Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
2057944,bus,"Willy-Brandt-Platz, Darmstadt","49.876019,8.650266","Bessunger Forsthaus Jugendhof, Darmstadt","49.864836,8.725577"
2058523,bus,"Hofgut Oberfeld, Darmstadt","49.873115,8.682079","Kasinostraße, Darmstadt","49.875066,8.643398"
2058552,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
2059827,bus,"Zentrum Marktplatz/Frankf. Straße, Offenbach am Ma","50.104884,8.764519","Bürgel Alicestraße, Offenbach am Main","50.115195,8.783594"
2060808,bus,"Bürgel Alicestraße, Offenbach am Main","50.115195,8.783594","Zentrum Marktplatz/Berliner Str., Offenbach am Mai","50.105612,8.764555"
2062567,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
2064674,bus,Darmstadt Hbf,"49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
2066351,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
2251602,bus,"Brinckmanshöhe, Rostock","54.087204,12.188555","Hauptbahnhof Nord, Rostock","54.078386,12.134619"
2295370,bus,"Steintor IHK, Rostock","54.086045,12.142045","Brinckmanshöhe, Rostock","54.088166,12.188609"
2452710,bus,Darmstadt Hbf,"49.872549,8.629707","Kopernikusplatz, Darmstadt","49.878194,8.661844"
2460716,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
2582830,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
2584133,bus,"Südbahnhof, Darmstadt","49.854966,8.637699","Rhein-/Neckarstraße, Darmstadt","49.871542,8.644701"
2675990,bus,"Steintor IHK, Rostock","54.085811,12.142602","Damm(b Rostock), Dummerstorf","54.010068,12.153551"
2782963,bus,"Sewanstr./Volkradstr., Berlin","52.49704,13.506544","Sonnenallee/Pannierstr., Berlin","52.486109,13.430325"
2784216,bus,"Erkstr., Berlin","52.481686,13.440123",Ostkreuz,"52.503037,13.469105"
2786328,bus,"Mellenseestr., Berlin","52.493291,13.508135","Wönnichstr., Berlin","52.500267,13.495946"
2794732,bus,"Schwarzmeerstr., Berlin","52.5013,13.509034","Friedrichsfelde Ost (S), Berlin","52.513463,13.519066"
2797009,bus,"Friedrichsfelde (U), Berlin","52.505912,13.512783","Sewanstr./Dolgenseestr., Berlin","52.49632,13.509574"
2802586,bus,Darmstadt Hbf,"49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
2804096,bus,"Hochschule, Darmstadt","49.866625,8.635038",Darmstadt Hbf,"49.872549,8.629707"
2808840,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Hofgut Oberfeld, Darmstadt","49.873115,8.682079"
2819697,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
3073204,bus,"Friedrichsfelde (U), Berlin","52.505912,13.512783","Mellenseestr., Berlin","52.493291,13.508135"
3077754,bus,"Mellenseestr., Berlin","52.493291,13.508135","Friedrichsfelde (U), Berlin","52.505912,13.512783"
3082344,bus,"Friedrichsfelde (U), Berlin","52.505912,13.512783","Mellenseestr., Berlin","52.493291,13.508135"
3161475,bus,Darmstadt Hbf,"49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
3164667,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
3259635,bus,"Galileistraße, Rostock","54.067464,12.117873","Hauptbahnhof Süd, Rostock","54.07755,12.128767"
3519306,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
3519915,bus,Wiesbaden Hbf,"50.070788,8.243728","Dernsches Gelände, Wiesbaden","50.080559,8.242875"
3530746,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
3539371,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
3543058,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
3713145,bus,"Galileistraße, Rostock","54.067464,12.117873","Hauptbahnhof Süd, Rostock","54.07755,12.128767"
3714027,bus,"Hauptbahnhof, Stralsund","54.309256,13.078442","Knieperdamm, Stralsund","54.320798,13.079844"
3927615,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
3941258,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Am Karlshof, Darmstadt","49.882104,8.665799"
3944223,bus,"Am Karlshof, Darmstadt","49.882104,8.665799","Kasinostraße, Darmstadt","49.875066,8.643398"
3948113,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
4066642,bus,Darmstadt Hbf,"49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4069657,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Luisenplatz, Darmstadt","49.872882,8.651254"
4081687,bus,Darmstadt Hbf,"49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4081978,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Hofgut Oberfeld, Darmstadt","49.873115,8.682079"
