Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
2057944,bus,"Willy-Brandt-Platz, Darmstadt","49.876019,8.650266","Bessunger Forsthaus Jugendhof, Darmstadt","49.864836,8.725577"
2058523,bus,"Hofgut Oberfeld, Darmstadt","49.873115,8.682079","Kasinostraße, Darmstadt","49.875066,8.643398"
2058552,bus,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
2059827,bus,"Zentrum Marktplatz/Frankf. Straße, Offenbach am Ma","50.104884,8.764519","Bürgel Alicestraße, Offenbach am Main","50.115195,8.783594"
2060808,bus,"Bürgel Alicestraße, Offenbach am Main","50.115195,8.783594","Zentrum Marktplatz/Berliner Str., Offenbach am Mai","50.105612,8.764555"
2251602,bus,"Brinckmanshöhe, Rostock","54.087204,12.188555","Hauptbahnhof Nord, Rostock","54.078386,12.134619"
2295370,bus,"Steintor IHK, Rostock","54.086045,12.142045","Brinckmanshöhe, Rostock","54.088166,12.188609"
2452710,bus,Darmstadt Hbf,"49.872549,8.629707","Kopernikusplatz, Darmstadt","49.878194,8.661844"
2584133,bus,"Südbahnhof, Darmstadt","49.854966,8.637699","Rhein-/Neckarstraße, Darmstadt","49.871542,8.644701"
2675990,bus,"Steintor IHK, Rostock","54.085811,12.142602","Damm(b Rostock), Dummerstorf","54.010068,12.153551"
2782963,bus,"Sewanstr./Volkradstr., Berlin","52.49704,13.506544","Sonnenallee/Pannierstr., Berlin","52.486109,13.430325"
2784216,bus,"Erkstr., Berlin","52.481686,13.440123",Ostkreuz,"52.503037,13.469105"
2786328,bus,"Mellenseestr., Berlin","52.493291,13.508135","Wönnichstr., Berlin","52.500267,13.495946"
2794732,bus,"Schwarzmeerstr., Berlin","52.5013,13.509034","Friedrichsfelde Ost (S), Berlin","52.513463,13.519066"
2797009,bus,"Friedrichsfelde (U), Berlin","52.505912,13.512783","Sewanstr./Dolgenseestr., Berlin","52.49632,13.509574"
2804096,bus,"Hochschule, Darmstadt","49.866625,8.635038",Darmstadt Hbf,"49.872549,8.629707"
3073204,bus,"Friedrichsfelde (U), Berlin","52.505912,13.512783","Mellenseestr., Berlin","52.493291,13.508135"
3259635,bus,"Galileistraße, Rostock","54.067464,12.117873","Hauptbahnhof Süd, Rostock","54.07755,12.128767"
3519915,bus,Wiesbaden Hbf,"50.070788,8.243728","Dernsches Gelände, Wiesbaden","50.080559,8.242875"
3714027,bus,"Hauptbahnhof, Stralsund","54.309256,13.078442","Knieperdamm, Stralsund","54.320798,13.079844"
3941258,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Am Karlshof, Darmstadt","49.882104,8.665799"
4069657,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Luisenplatz, Darmstadt","49.872882,8.651254"
4358383,bus,"Flughafen Terminal 1, Frankfurt a.M.","50.05085,8.570585",Darmstadt Hbf,"49.872549,8.629707"
4378663,bus,"Ostbahnhof, Darmstadt","49.874706,8.673224","Kasinostraße, Darmstadt","49.875066,8.643398"
4380795,bus,"Bahnhof, Bad Homburg v.d. Höhe","50.220692,8.620727","Seedammbad, Bad Homburg v.d. Höhe","50.224234,8.632674"
4841801,bus,Darmstadt Hbf,"49.872549,8.629707",Darmstadt Kasinostraße,"49.874973,8.642866"
5030501,bus,"Basel, Bruderholzstrasse","47.540504,7.591804","Basel, St. Jakob","47.54099,7.618439"
5043819,bus,"Dornach, Bahnhof","47.490105,7.610967","Gempen, Dorf","47.476151,7.65889"
5089932,bus,"Rostock, Steintor / IHK","54.085865,12.142689","Rostock, Albert-Schulz-Str.","54.08988,12.187012"
5135414,bus,Darmstadt Hbf,"49.872549,8.629707",Darmstadt Luisenplatz,"49.872883,8.650254"
5137617,bus,Darmstadt Am Karlshof,"49.882107,8.665799",Darmstadt Rhein-/Neckarstraße,"49.871532,8.644714"
5147834,bus,Darmstadt Luisenplatz,"49.872883,8.650254",Darmstadt Am Karlshof,"49.882107,8.665799"
5210586,bus,Stralsund Hbf,"54.308626,13.077318",Samtens,"54.354031,13.290282"
5212651,bus,Stralsund Rügendamm,"54.305283,13.107468",Stralsund Hbf,"54.308626,13.077318"
5445105,bus,Beethovenstraße,"53.574574,10.021812",Hamburg HBF/Kirchenallee,"53.553246,10.008697"
5450219,bus,Bremen Universität-Süd,"53.105026,8.851518",Bremen Hauptbahnhof-Nord/Messe,"53.084587,8.816799"
5546089,bus,"Rathaus Schöneberg, Berlin","52.485291,13.345071",S Südkreuz Bhf (Berlin),"52.47588,13.365602"
5824487,bus,Darmstadt Hbf,"49.872549,8.629707",Frankfurt (Main) Flughafen Terminal 1,"50.051414,8.571453"
5832185,bus,Darmstadt Ost,"49.874904,8.673772",Darmstadt Kasinostraße,"49.874973,8.642866"
6022928,bus,Bad Schandau Elbbrücke,"50.921186,14.14085",Kirnitzschtal Beuthenfall,"50.926506,14.237893"
6029683,bus,"Hřensko,střed","50.87404,14.242667","Děčín,hl.nádr.","50.773994,14.200767"
6034811,bus,"Hřensko,střed","50.87404,14.242667","Hřensko,přívoz","50.87761,14.236995"
6036579,bus,Postelwitz Abzweig Ostrau,"50.910576,14.184937",Bad Schandau Marktplatz,"50.917656,14.153146"
6073944,bus,Obertshausen(Kr Of),"50.072011,8.853737",Obertshausen-Hausen Robert-Koch-Straße,"50.075386,8.86026"
6332563,bus,Darmstadt Kasinostraße,"49.874973,8.642866",Darmstadt Luisenplatz,"49.872883,8.650254"
