Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
577373,national,Rostock Hbf,"54.078197,12.131257",Bremen Hbf,"53.08328,8.813681"
580673,national,Bremen Hbf,"53.08328,8.813681",Rostock Hbf,"54.078197,12.131257"
633744,national,Düsseldorf Hbf,"51.219708,6.794011",Hamburg-Harburg,"53.456198,9.991591"
880455,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
882376,national,München Hbf,"48.140232,11.558335",Bologna Centrale,"44.506142,11.343407"
884641,national,Napoli Centrale,"40.852827,14.273072",Milano Porta Garibaldi,"45.484438,9.187299"
901515,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
931028,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
932358,national,Berlin Gesundbrunnen,"52.548656,13.39106",Praha-Holesovice,"50.110215,14.440011"
935997,national,Praha hl.n.,"50.083058,14.436038",Berlin Gesundbrunnen,"52.548656,13.39106"
936424,national,Berlin Gesundbrunnen,"52.548656,13.39106",Rostock Hbf,"54.078197,12.131257"
996729,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
1000714,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
1027592,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
1032682,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
1038145,national,Rostock Hbf,"54.078197,12.131257",Hamburg Hbf,"53.553533,10.00636"
1180055,national,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
1236816,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
1444942,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
2178696,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
2253603,national,Rostock Hbf,"54.078197,12.131257",Ostkreuz,"52.503037,13.469105"
2576180,national,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Hbf,"49.872549,8.629707"
2780334,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
3173805,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
3201953,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
3545218,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
3565391,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
3577796,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
3730497,national,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
3736603,national,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
4435615,national,Rostock Hbf,"54.078197,12.131257",Ludwigslust,"53.335122,11.493751"
4693813,national,Rostock Hbf,"54.078197,12.131257",Ostkreuz,"52.503037,13.469105"
4839232,national,Hamburg Hbf,"53.553533,10.00636",Hamburg-Harburg,"53.456198,9.991591"
4862228,national,Hamburg-Harburg,"53.456198,9.991591",Hamburg Hbf,"53.553533,10.00636"
