Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
1861676,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
1889470,nationalExpress,Rostock Hbf,"54.078197,12.131257",Stralsund Hbf,"54.308438,13.078028"
1890400,nationalExpress,Stralsund Hbf,"54.308438,13.078028",Rostock Hbf,"54.078197,12.131257"
1982090,nationalExpress,Berlin Hbf,"52.524924,13.369629",Hannover Hbf,"52.377079,9.741763"
1990337,nationalExpress,Hannover Hbf,"52.377079,9.741763",Hamburg Hbf,"53.553533,10.00636"
2052737,nationalExpress,Rostock Hbf,"54.078197,12.131257",Frankfurt(Main)Hbf,"50.106817,8.663003"
2148656,nationalExpress,Rostock Hbf,"54.078197,12.131257",Hamburg Hbf,"53.553533,10.00636"
2149164,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Köln Hbf,"50.942823,6.959197"
2155565,nationalExpress,Köln Hbf,"50.942823,6.959197",Hamburg Hbf,"53.553533,10.00636"
2169551,nationalExpress,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
2449005,nationalExpress,Rostock Hbf,"54.078197,12.131257",Frankfurt(M) Flughafen Fernbf,"50.052926,8.569776"
2452500,nationalExpress,Frankfurt(M) Flughafen Fernbf,"50.052926,8.569776",Frankfurt(Main)Hbf,"50.106817,8.663003"
2462039,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003",Hamburg Hbf,"53.553533,10.00636"
2464132,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
2573869,nationalExpress,Berlin Hbf,"52.524924,13.369629",Frankfurt(Main)Hbf,"50.106817,8.663003"
2586154,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003",Berlin Hbf,"52.3928,13.036498"
2799969,nationalExpress,Berlin Hbf,"52.3928,13.036498",Frankfurt(Main)Hbf,"50.106817,8.663003"
2820426,nationalExpress,Mannheim Hbf,"49.479181,8.469268",Hamburg Hbf,"53.553533,10.00636"
2823352,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
3161255,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Frankfurt(Main)Hbf,"50.106817,8.663003"
3171634,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003",Berlin Hbf,"52.3928,13.036498"
3203635,nationalExpress,Berlin Hbf,"52.3928,13.036498",Nürnberg Hbf,"49.445435,11.08227"
3205884,nationalExpress,Nürnberg Hbf,"49.445435,11.08227",Aschaffenburg Hbf,"49.98059,9.143854"
3215042,nationalExpress,Darmstadt Hbf,"49.872549,8.629707",Berlin Gesundbrunnen,"52.548656,13.39106"
3511338,nationalExpress,Rostock Hbf,"54.078197,12.131257",Darmstadt Hbf,"49.872549,8.629707"
3543420,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003",Hannover Hbf,"52.377079,9.741763"
3544234,nationalExpress,Hannover Hbf,"52.377079,9.741763",Berlin Hbf,"52.524924,13.369629"
3920884,nationalExpress,Rostock Hbf,"54.078197,12.131257",Frankfurt(Main)Hbf,"50.106817,8.663003"
3948207,nationalExpress,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
3949659,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003",Rostock Hbf,"54.078197,12.131257"
4063791,nationalExpress,Rostock Hbf,"54.078197,12.131257",Darmstadt Hbf,"49.872549,8.629707"
