Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
627742,nationalExpress,Rostock Hbf,"54.078197,12.131257",Hamburg Hbf,"53.553533,10.00636"
628273,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Düsseldorf Hbf,"51.219708,6.794011"
880822,nationalExpress,Berlin Hbf,"52.3928,13.036498",München Hbf,"48.140232,11.558335"
882943,nationalExpress,Bologna Centrale,"44.506142,11.343407",Roma Termini,"41.900492,12.502791"
884356,nationalExpress,Roma Termini,"41.900492,12.502791",Napoli Centrale,"40.852827,14.273072"
886118,nationalExpress,Milano Porta Garibaldi,"45.484438,9.187299",Turin Porta Nuova,"45.061001,7.677714"
886691,nationalExpress,Turin Porta Susa,"45.071833,7.665165",Milano Centrale,"45.487143,9.204828"
893411,nationalExpress,Barcelona Sants,"41.378911,2.140368",Madrid-Puerta de Atocha,"40.405964,-3.689757"
896297,nationalExpress,Madrid-Puerta de Atocha,"40.405964,-3.689757",Sevilla Santa Justa,"37.391926,-5.975265"
898885,nationalExpress,Sevilla Santa Justa,"37.391926,-5.975265",Madrid-Puerta de Atocha,"40.405964,-3.689757"
899363,nationalExpress,Madrid-Chamartin,"40.472151,-3.68235",Valencia Joaquin Sorolla,"39.458015,-0.381763"
950279,nationalExpress,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
1028407,nationalExpress,Berlin Hbf,"52.3928,13.036498",Leipzig Hbf,"51.345081,12.381167"
1032687,nationalExpress,Leipzig Hbf,"51.345081,12.381167",Berlin Hbf,"52.3928,13.036498"
1057102,nationalExpress,Rostock Hbf,"54.078197,12.131257",Hamburg Hbf,"53.553533,10.00636"
1057109,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Düsseldorf Hbf,"51.219708,6.794011"
1064000,nationalExpress,Düsseldorf Hbf,"51.219708,6.794011",Hamburg Hbf,"53.553533,10.00636"
1065041,nationalExpress,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
1176286,nationalExpress,Berlin Hbf,"52.3928,13.036498",Hamburg Hbf,"53.553533,10.00636"
1366613,nationalExpress,Rostock Hbf,"54.078197,12.131257",Hannover Hbf,"52.377079,9.741763"
1451047,nationalExpress,Berlin Südkreuz,"52.47623,13.365863",Frankfurt(Main)Hbf,"50.106817,8.663003"
1451345,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003",Karlsruhe Hbf,"48.99353,8.401939"
1451555,nationalExpress,Karlsruhe Hbf,"48.99353,8.401939",Strasbourg Gare Centrale,"48.584861,7.73525"
1458899,nationalExpress,Strasbourg Gare Centrale,"48.584861,7.73525",Paris Gare de l'Est,"48.876976,2.35912"
