Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
5063487,regionalExp,Berlin Hbf,"52.524924,13.369629",Hamburg Hbf,"53.553533,10.00636"
5072347,regionalExp,Ludwigslust,"53.335122,11.493751",Rostock Hbf,"54.078197,12.131257"
5396748,regionalExp,Berlin Hbf,"52.524924,13.369629",Rostock Hbf,"54.078197,12.131257"
5645926,regionalExp,Berlin Gesundbrunnen,"52.548656,13.39106",Rostock Hbf,"54.078197,12.131257"
6020549,regionalExp,Rostock Hbf,"54.078197,12.131257",Dresden Hbf,"51.040221,13.731409"
6029909,regionalExp,Děčín hl. n.,"50.773476,14.201046",Praha hl. n.,"50.083058,14.436037"
6032364,regionalExp,Praha hl.n.,"50.083058,14.436038",Decin hl.n.,"50.773987,14.201527"
6083970,regionalExp,Darmstadt Hbf,"49.872549,8.629707",Hamburg Hbf,"53.553533,10.00636"
6086870,regionalExp,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
6178991,regionalExp,Rostock Hbf,"54.078197,12.131257",S Oranienburg Bhf,"52.754093,13.249336"
6261885,regionalExp,Rostock Hbf,"54.078197,12.131257",Berlin Ostkreuz,"52.503305,13.468861"
