Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
4442638,subway,"Bundesplatz (S+U), Berlin","52.477713,13.328522","Rathaus Steglitz [U9] (S+U), Berlin","52.456858,13.320773"
4700076,subway,"Jannowitzbrücke (S+U), Berlin","52.515503,13.418126","Boddinstr. (U), Berlin","52.479798,13.425408"
5007220,subway,"Gleisdreieck (U), Berlin","52.49953,13.374178",S+U Potsdamer Platz Bhf (Berlin),"52.50831,13.377322"
5069771,subway,Hamburg Burgstraße,"53.555775,10.041764",Hamburg Hauptbahnhof Nord,"53.554024,10.005202"
5393787,subway,Berlin Hbf,"52.524924,13.369629","Frankfurter Tor (U), Berlin","52.515845,13.453948"
5443862,subway,Hamburg Hauptbahnhof Nord,"53.554024,10.005202",Hamburg Rauhes Haus,"53.55421,10.066485"
5534241,subway,S+U Rathaus Spandau (Berlin),"52.535187,13.199712","Siemensdamm (U), Berlin","52.536799,13.272483"
5534818,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5535835,subway,"Bayerischer Platz (U), Berlin","52.488527,13.339938","Siemensdamm (U), Berlin","52.536799,13.272483"
5538390,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bismarckstr. (U), Berlin","52.51153,13.305177"
5538395,subway,"Bismarckstr. (U), Berlin","52.51153,13.305177","Stadtmitte (U), Berlin","52.511701,13.389684"
5543124,subway,S+U Jungfernheide Bhf (Berlin),"52.53036,13.299325","Siemensdamm (U), Berlin","52.536799,13.272483"
5543377,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Zitadelle (U), Berlin","52.537635,13.217685"
5543590,subway,"Zitadelle (U), Berlin","52.537635,13.217685","Siemensdamm (U), Berlin","52.536799,13.272483"
5545758,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5547001,subway,"Südstern (U), Berlin","52.489066,13.407879","Bayerischer Platz (U), Berlin","52.488527,13.339938"
6031066,subway,Muzeum,"50.080048,14.430857",Malostranská,"50.091637,14.409068"
6031762,subway,Malostranská,"50.091637,14.409068",Můstek,"50.08359,14.424664"
6032159,subway,Můstek,"50.08359,14.424664",Muzeum,"50.080048,14.430857"
6150740,subway,S+U Gesundbrunnen Bhf (Berlin),"52.54913,13.389907","Rosenthaler Platz (U), Berlin","52.529787,13.401406"
6674150,subway,U-Bahnhof Hauptbahnhof Süd,"53.5523,10.0098",Hamburg Berliner Tor,"53.552605,10.02633"
6675185,subway,Hamburg Berliner Tor,"53.552605,10.02633",Lutterothstraße,"53.58207,9.947602"
6681739,subway,Lutterothstraße,"53.58207,9.947602",Schlump,"53.568012,9.96988"
6681745,subway,Lutterothstraße,"53.58207,9.947602",Schlump,"53.568012,9.96988"
6681772,subway,Schlump,"53.568012,9.96988",Hamburg Landungsbrücken,"53.546314,9.970619"
6682805,subway,Baumwall (Elbphilharmonie),"53.544174,9.981325",Schlump,"53.568012,9.96988"
6682987,subway,Schlump,"53.568012,9.96988",Lutterothstraße,"53.58207,9.947602"
