Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
1861245,subway,"Wandsbek Markt, Hamburg","53.571637,10.06675","Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317"
1861518,subway,"Gänsemarkt (Oper), Hamburg","53.555609,9.986045","Jungfernstieg, Hamburg","53.553209,9.994701"
1861542,subway,"Jungfernstieg, Hamburg","53.553209,9.994701",Hamburg Hbf,"53.553533,10.00636"
2170948,subway,"Nollendorfplatz (U), Berlin","52.499592,13.35415","Warschauer Str. (S+U), Berlin","52.505238,13.449112"
2171366,subway,"Görlitzer Bahnhof (U), Berlin","52.499251,13.427745","Warschauer Str. (S+U), Berlin","52.505238,13.449112"
2454723,subway,Frankfurt(Main)Hbf,"50.106817,8.663003","Festhalle/Messe, Frankfurt a.M.","50.112183,8.654859"
2454761,subway,"Festhalle/Messe, Frankfurt a.M.","50.112183,8.654859","Willy-Brandt-Platz, Frankfurt a.M.","50.108992,8.673898"
2461556,subway,Frankfurt(Main)Hbf,"50.106817,8.663003","Höhenstraße, Frankfurt a.M.","50.123042,8.701495"
2796988,subway,"Lichtenberg Bahnhof (S+U), Berlin","52.510757,13.498229","Friedrichsfelde (U), Berlin","52.505912,13.512783"
3072991,subway,Berlin Hbf,"52.524924,13.369629","Friedrichsfelde (U), Berlin","52.505912,13.512783"
3077820,subway,"Friedrichsfelde (U), Berlin","52.505912,13.512783",Berlin Alexanderplatz,"52.521526,13.411088"
3077954,subway,Berlin Alexanderplatz,"52.521526,13.411088","Stadtmitte (U), Berlin","52.511701,13.389684"
3084522,subway,"Warschauer Str. (S+U), Berlin","52.505238,13.449112","Schlesisches Tor (U), Berlin","52.500869,13.441579"
3085800,subway,"Kottbusser Tor (U), Berlin","52.499071,13.418198",Berlin Gesundbrunnen,"52.548656,13.39106"
3165053,subway,Frankfurt(Main)Hbf,"50.106817,8.663003","Willy-Brandt-Platz, Frankfurt a.M.","50.108992,8.673898"
3166524,subway,Frankfurt(M)Konstablerwache,"50.114637,8.686393","Hessen-Center, Frankfurt a.M.","50.140454,8.748976"
3571888,subway,"Warschauer Str. (S+U), Berlin","52.505238,13.449112","Kottbusser Tor (U), Berlin","52.499071,13.418198"
3572518,subway,"Moritzplatz (U), Berlin","52.503647,13.41062","Hermannstr. (S+U), Berlin","52.467465,13.431349"
3573615,subway,"Yorckstr. (S+U), Berlin","52.492437,13.372075","Möckernbrücke (U), Berlin","52.498936,13.38288"
3575815,subway,"Jungfernheide Bahnhof (S+U), Berlin","52.530866,13.300781","Mierendorffplatz (U), Berlin","52.525994,13.305671"
4442638,subway,"Bundesplatz (S+U), Berlin","52.477713,13.328522","Rathaus Steglitz [U9] (S+U), Berlin","52.456858,13.320773"
4700076,subway,"Jannowitzbrücke (S+U), Berlin","52.515503,13.418126","Boddinstr. (U), Berlin","52.479798,13.425408"
5007220,subway,"Gleisdreieck (U), Berlin","52.49953,13.374178",S+U Potsdamer Platz Bhf (Berlin),"52.50831,13.377322"
5069771,subway,Hamburg Burgstraße,"53.555775,10.041764",Hamburg Hauptbahnhof Nord,"53.554024,10.005202"
5393787,subway,Berlin Hbf,"52.524924,13.369629","Frankfurter Tor (U), Berlin","52.515845,13.453948"
5443862,subway,Hamburg Hauptbahnhof Nord,"53.554024,10.005202",Hamburg Rauhes Haus,"53.55421,10.066485"
5534241,subway,S+U Rathaus Spandau (Berlin),"52.535187,13.199712","Siemensdamm (U), Berlin","52.536799,13.272483"
5534818,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5538390,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bismarckstr. (U), Berlin","52.51153,13.305177"
5538395,subway,"Bismarckstr. (U), Berlin","52.51153,13.305177","Stadtmitte (U), Berlin","52.511701,13.389684"
5543124,subway,S+U Jungfernheide Bhf (Berlin),"52.53036,13.299325","Siemensdamm (U), Berlin","52.536799,13.272483"
5543377,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Zitadelle (U), Berlin","52.537635,13.217685"
5547001,subway,"Südstern (U), Berlin","52.489066,13.407879","Bayerischer Platz (U), Berlin","52.488527,13.339938"
6031066,subway,Muzeum,"50.080048,14.430857",Malostranská,"50.091637,14.409068"
6031762,subway,Malostranská,"50.091637,14.409068",Můstek,"50.08359,14.424664"
6032159,subway,Můstek,"50.08359,14.424664",Muzeum,"50.080048,14.430857"
6150740,subway,S+U Gesundbrunnen Bhf (Berlin),"52.54913,13.389907","Rosenthaler Platz (U), Berlin","52.529787,13.401406"
6674150,subway,U-Bahnhof Hauptbahnhof Süd,"53.5523,10.0098",Hamburg Berliner Tor,"53.552605,10.02633"
6675185,subway,Hamburg Berliner Tor,"53.552605,10.02633",Lutterothstraße,"53.58207,9.947602"
6681739,subway,Lutterothstraße,"53.58207,9.947602",Schlump,"53.568012,9.96988"
6681772,subway,Schlump,"53.568012,9.96988",Hamburg Landungsbrücken,"53.546314,9.970619"
6682805,subway,Baumwall (Elbphilharmonie),"53.544174,9.981325",Schlump,"53.568012,9.96988"
