Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
4100639,tram,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
4214186,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4214439,tram,"Hauptbahnhof (U), Rostock","54.078359,12.130907","Lomonossowstraße, Rostock","54.065289,12.117243"
4328205,tram,"Lomonossowstraße, Rostock","54.065289,12.117243","Rostock Südblick, Papendorf b Rostock","54.057648,12.11709"
4329605,tram,"Südblick, Rostock","54.058115,12.116362","Lomonossowstraße, Rostock","54.065307,12.117342"
4339184,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4396574,tram,"Luisenplatz, Darmstadt","49.872882,8.651254","Kasinostraße, Darmstadt","49.875066,8.643398"
4401503,tram,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
4693692,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
5026823,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Heuwaage","47.551273,7.588046"
5029029,tram,"Basel, Heuwaage","47.551273,7.588046","Basel, Tellplatz","47.54286,7.594186"
5035285,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Theater","47.553125,7.589781"
5035293,tram,"Basel, Bankverein","47.553611,7.592253","Basel, Kunstmuseum","47.554456,7.594078"
5036760,tram,"Basel, Schifflände","47.559202,7.587156","Basel, Peter-Merian","47.545323,7.596164"
5038013,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Messeplatz","47.563454,7.599615"
5038898,tram,"Basel, Messeplatz","47.563454,7.599615","Basel, Tellplatz","47.54286,7.594186"
5043481,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Bhfeingang Gundeldingen","47.545616,7.587342"
5045653,tram,"Basel, Bhfeingang Gundeldingen","47.545616,7.587342","Basel, Tellplatz","47.54286,7.594186"
5050443,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Bankverein","47.553611,7.592253"
5051267,tram,"Basel, Theater","47.553125,7.589781","Basel, Messeplatz","47.563454,7.599615"
5054197,tram,"Basel, Messeplatz","47.563454,7.599615","Basel, Grosspeterstrasse","47.545871,7.598564"
5089928,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Steintor / IHK","54.085865,12.142689"
5131887,tram,Darmstadt Hbf,"49.872549,8.629707",Darmstadt Kasinostraße,"49.874973,8.642866"
5135459,tram,Darmstadt Luisenplatz,"49.872883,8.650254",Darmstadt-Kranichstein,"49.906816,8.679319"
