Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
577355,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
1523897,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Lange Straße, Rostock","54.089964,12.135069"
1889366,tram,"Majakowskistraße, Rostock","54.069711,12.116246","Hauptbahnhof (U), Rostock","54.078359,12.130907"
1983617,tram,Hannover Hbf,"52.377079,9.741763",Hannover Dragonerstraße,"52.39423,9.735372"
2057463,tram,"Kasinostraße, Darmstadt","49.875066,8.643398","Luisenplatz, Darmstadt","49.872882,8.651254"
2062865,tram,"Südbahnhof, Frankfurt a.M.","50.099913,8.685719","Otto-Hahn-Platz, Frankfurt a.M.","50.101864,8.675678"
2106376,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Kröpeliner Tor, Rostock","54.089847,12.129729"
2107230,tram,"Kröpeliner Tor, Rostock","54.089811,12.129738","Südstadt-Center, Rostock","54.072111,12.117198"
2132036,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Neuer Markt, Rostock","54.088912,12.140525"
2152662,tram,"Mülheim Von-Sparr-Str., Köln","50.970446,7.011379","Bahnhof Deutz/Messe LANXESS arena, Köln","50.939595,6.978802"
2295282,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Steintor IHK, Rostock","54.086566,12.141065"
2378567,tram,"Lomonossowstraße, Rostock","54.065289,12.117243","Rostock Südblick, Papendorf b Rostock","54.057648,12.11709"
2454457,tram,"Kasinostraße, Darmstadt","49.875066,8.643398",Darmstadt Hbf,"49.872549,8.629707"
2460984,tram,Frankfurt(Main)Hbf,"50.106817,8.663003","Schweizer-/Gartenstraße, Frankfurt a.M.","50.103338,8.679553"
2531408,tram,"Hauptbahnhof (U), Rostock","54.078359,12.130907","Südstadt-Center, Rostock","54.072111,12.117198"
2576406,tram,Darmstadt Hbf,"49.872549,8.629707","Rhein-/Neckarstraße, Darmstadt","49.871542,8.644701"
2721688,tram,"Kröpeliner Tor, Rostock","54.089847,12.129729","Doberaner Platz, Rostock","54.088436,12.123176"
2721912,tram,"Doberaner Platz, Rostock","54.088328,12.123239","Lomonossowstraße, Rostock","54.065289,12.117243"
2781934,tram,"Tierpark (U), Berlin","52.497552,13.523471","Landsberger Allee/Rhinstr., Berlin","52.535477,13.517151"
2790549,tram,"Landsberger Allee/Petersburger Str., Berlin","52.526021,13.446361","Landsberger Allee (S), Berlin","52.528637,13.456285"
3074749,tram,"Simplonstr., Berlin","52.509714,13.45722","Warschauer Str. (S), Berlin","52.507961,13.450514"
